MNX_ID	seed	other
MNXR101757	rxn01134	5.4.99.16-RXN
MNXR101759	rxn03057	5.3.1.23-RXN
MNXR101760	rxn02894	5-METHYLTHIORIBOSE-KINASE-RXN
MNXR101761	rxn08965	RXN0-301
MNXR101768	rxn03743	RXN-8578
MNXR101798	rxn00088	RXN-5822
MNXR101802	rxn05622	3.6.3.15-RXN
MNXR101802	rxn05622	3.6.3.7-RXN
MNXR101803	rxn05209	TRANS-RXN-101
MNXR101803	rxn08984	TRANS-RXN-101
MNXR101804	rxn08985	TRANS-RXN-189
MNXR101804	rxn10899	TRANS-RXN-189
MNXR101805	rxn03423	RXN-37
MNXR101861	rxn00076	NADPYROPHOSPHAT-RXN
MNXR101861	rxn05823	NADPYROPHOSPHAT-RXN
MNXR101879	rxn00066	NADH-PEROXIDASE-RXN
MNXR101882	rxn00077	NAD-KIN-RXN
MNXR101888	rxn00075	NADNUCLEOSID-RXN
MNXR101888	rxn00075	RXN-13859
MNXR101888	rxn13106	NADNUCLEOSID-RXN
MNXR101888	rxn13106	RXN-13859
MNXR101888	rxn14307	NADNUCLEOSID-RXN
MNXR101888	rxn14307	RXN-13859
MNXR101897	rxn00138	NAD-SYNTH-NH3-RXN
MNXR101898	rxn00083	PYRNUTRANSHYDROGEN-RXN
MNXR101899	rxn05887	HYDROGEN-DEHYDROGENASE-RXN
MNXR101900	rxn13361	RXN-5802
MNXR101907	rxn10820	TRANS-RXN-188
MNXR101909	rxn08981	NICOTINATEPRIBOSYLTRANS-RXN
MNXR101911	rxn00941	2.4.2.12-RXN
MNXR101912	rxn08999	TRANS-RXN-137
MNXR101912	rxn10823	TRANS-RXN-137
MNXR101913	rxn05894	1.7.7.2-RXN
MNXR101914	rxn08982	TRANS-RXN-130
MNXR101914	rxn10179	TRANS-RXN-130
MNXR101915	rxn08983	TRANS-RXN-129
MNXR101915	rxn10178	TRANS-RXN-129
MNXR101917	rxn01037	HIPPURATE-HYDROLASE-RXN
