rxn,genes,pwy,ncbi,uniprot,location,go,org
|RXN0-2921|,folC,|PWY-2161|;|PWY-6614|,M32445,P08192,|CCO-CYTOSOL|,|GO:0046872|;|GO:0046654|;|GO:0016874|;|GO:0009058|;|GO:0009396|;|GO:0006730|;|GO:0005524|;|GO:0000166|;|GO:0005829|;|GO:0046901|;|GO:0006761|;|GO:0005737|;|GO:0008841|;|GO:0004326|;|GO:0009257|;|GO:0046656|,|TAX-511145|
|3.1.3.72-RXN|,MINPP1,|PWY-6364|;|PWY-6366|;|PWY-6405|,AF084943,Q9UNW1,|CCO-ER|,|GO:0005783|,|TAX-9606|
|RXN-15592|,"fc8,16h",|PWY-7517|,AB506081,D1MX88,,,|TAX-622360|
|RXN-13433|,SDH,|PWY-5466|,AF352734,,,|GO:0016616|,|TAX-35933|
|RXN-13433|,SDH,|PWY-5466|,AF352735,,,|GO:0016616|,|TAX-55183|
|RXN-12702|,fadD19,|PWY-6945|,HM588719,E3UUE6,,,|TAX-1829|
|RXN-12702|,fadD19,|PWY-6945|;|PWY-6946|,,P9WQ51,,,|TAX-83332|
|RXN-15088|,YJU3,|PWY-7420|,140963,P28321,,|GO:0005811|,|TAX-4932|
|RXN-10917|,ALDH3A2,|PWY3DJ-11470|;|MGLDLCTANA-PWY|;|PWY-6307|;|PWY-6313|;|PWY-6318|;|PWY-6342|;|PWY-0|;|PWY66-21|;|PWY66-162|;|PWY66-161|;|PWY6666-2|;|PWY66-388|;|PWY66-387|;|PWY66-389|,U75286,P51648,|CCO-PEROX-MEM|;|CCO-ER|,|GO:0005778|;|GO:0016491|;|GO:0008544|;|GO:0008152|;|GO:0007422|;|GO:0007417|;|GO:0006629|;|GO:0005783|;|GO:0004029|;|GO:0004028|,|TAX-9606|
|RXN-12210|,norF,|PWY-8034|,AM778535,B4ER90,,,|TAX-67339|
|RXN-12210|,aurF,|PWY-8033|,AJ575648,Q70KH9,,,|TAX-66431|
|RXN-18074|,tunC,|PWY-7821|,HQ172897,E5KJ96,,,|TAX-1901|
|ACONITATE-DECARBOXYLASE-RXN|,CAD1,|PWY-5750|,AB326105,B3IUN8,|CCO-CYTOSOL|,|GO:0005829|,|TAX-33178|
|ACONITATE-DECARBOXYLASE-RXN|,IRG1,,,A6NK06,,,|TAX-9606|
|RXN-17606|,mdpP,|PWY-7779|,CP000556,A2SP20,,,|TAX-420662|
