MNX_ID	Balance	EC	Source	kegg
MNXR109176	true	2.1.1.43;2.1.1.59;2.1.1.60	rxn06805	R04867
MNXR109181	true		rxn03328	R04874
MNXR109182	true		rxn03329	R04875
MNXR109183	true		rxn03330	R04876
MNXR109184	true		rxn03331	R04877
MNXR109185	ambiguous		rxn06807	R04878
MNXR109186	ambiguous		rxn11630	R04879
MNXR109187	true	2.1.1.6	rxn03334	R04881
MNXR109188	true	1.2.1.3;1.2.1.5	rxn03335	R04882
MNXR109189	true	1.2.1.5	rxn03336	R04883
MNXR109191	ambiguous	4.1.1.-	rxn03338	R04885
MNXR109192	NA		rxn06809	
MNXR109193	true	2.1.1.6	rxn03339	R04887
MNXR109194	true	1.2.1.5	rxn03340	R04888
MNXR109195	true	1.2.1.5	rxn03341	R04889
MNXR109196	true	1.2.1.3;1.2.1.5	rxn03343	R04891
MNXR109197	true	1.2.1.5	rxn03344	R04892
MNXR109198	true	1.4.3.4	rxn03345	R04893
MNXR109199	true	1.4.3.4	rxn03346	R04894
MNXR109201	ambiguous		rxn03350	R04899
MNXR109203	true	1.1.1.219;1.1.1.234	rxn03352	R04901
MNXR109204	true		rxn03367	R04918
MNXR109219	true	2.7.8.1	rxn06811	R04920
MNXR109220	ambiguous	2.7.8.-	rxn03369	R04921
MNXR109221	true	2.7.8.2	rxn06812	R04922
MNXR109222	ambiguous		rxn06813	R04923
MNXR109223	NA		rxn06814	R04924
MNXR109224	ambiguous		rxn03370	R04925
MNXR109226	true		rxn11637	R04940
MNXR109238	ambiguous		rxn03381	R04943
MNXR109239	ambiguous	2.5.1.48	rxn06820	R04944
MNXR109241	true	2.4.1.178;2.4.1.63;2.4.1.85	rxn06822	R04948
MNXR109242	true	3.2.1.21	rxn06823	R04949
MNXR109244	ambiguous	3.4.11.1;3.4.11.2;3.4.11.23;3.4.13.-;3.4.13.3	rxn12003	R04951
MNXR109245	true	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	rxn05346	R04952
MNXR109246	true	1.3.1.9;2.3.1.-;2.3.1.86	rxn05326	R04955
MNXR109247	true	1.3.1.10;1.3.1.104;1.3.1.39;2.3.1.85;2.3.1.86	rxn05357	R04956
MNXR109248	true	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	rxn05350	R04957
MNXR109249	ambiguous	1.3.1.9;2.3.1.-;2.3.1.86	rxn05325	R04958
MNXR109250	ambiguous	1.3.1.10;1.3.1.104;1.3.1.39;2.3.1.85;2.3.1.86	rxn05352	R04959
MNXR109251	true	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	rxn05343	R04960
MNXR109252	true	1.3.1.9;2.3.1.-;2.3.1.86	rxn05327	R04961
MNXR109253	true	1.3.1.10;1.3.1.104;1.3.1.39;2.3.1.85;2.3.1.86	rxn05356	R04962
MNXR109254	true	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	rxn05348	R04963
MNXR109255	true	1.3.1.9;2.3.1.-;2.3.1.86	rxn05323	R04966
MNXR109256	true	1.3.1.10;1.3.1.104;1.3.1.39;2.3.1.85;2.3.1.86	rxn05351	R04967
MNXR109257	true	2.3.1.-;2.3.1.179;2.3.1.180;2.3.1.41;2.3.1.85;2.3.1.86	rxn05344	R04968
MNXR109258	true	1.3.1.9;2.3.1.-;2.3.1.86	rxn05328	R04969
MNXR109259	true	1.3.1.10;1.3.1.104;1.3.1.39;2.3.1.85;2.3.1.86	rxn05354	R04970
MNXR109264	true		rxn11640	R04978
MNXR109266	true	1.14.13.-	rxn03388	R04980
MNXR109268	true	1.14.13.-	rxn03390	R04982
MNXR109269	true	2.1.1.201	rxn03391	R04983
MNXR109270	true	1.14.13.-	rxn03392	R04984
MNXR109273	ambiguous	1.14.13.-	rxn03396	R04989
MNXR109276	true	1.2.1.5	rxn03400	R04996
MNXR109279	ambiguous		rxn03404	R05001
MNXR109280	true	1.14.11.9	rxn03414	R05039
MNXR109289	true		rxn03416	R05043
MNXR109290	ambiguous		rxn03417	R05044
MNXR109291	ambiguous		rxn03418	R05045
MNXR109297	true	2.3.1.152	rxn06843	R05061
MNXR109299	true	4.1.3.-	rxn03432	R05063
MNXR109301	true	2.3.1.243	rxn06848	R05075
MNXR109303	ambiguous		rxn03441	R05077
MNXR109304	true	4.2.1.-	rxn03442	R05078
MNXR109305	ambiguous		rxn03443	R05079
